freq,epsilon_r       ,epsilon_i       
70000000000,1.677,0.00302
70028571429,1.676,0.00299
70057142857,1.674,0.00297
70085714286,1.673,0.00250
70114285714,1.672,0.00246
70142857143,1.670,0.00242
70171428571,1.669,0.00237
70200000000,1.668,0.00232
70228571429,1.667,0.00227
70257142857,1.666,0.00221
70285714286,1.665,0.00214
70314285714,1.664,0.00208
70342857143,1.663,0.00200
70371428571,1.661,0.00193
70400000000,1.660,0.00184
70428571429,1.659,0.00176
70457142857,1.659,0.00167
70485714286,1.658,0.00158
70514285714,1.657,0.00148
70542857143,1.656,0.00139
70571428571,1.655,0.00128
70600000000,1.654,0.00118
70628571429,1.653,0.00107
70657142857,1.653,0.00096
70685714286,1.652,0.00085
70714285714,1.651,0.00074
70742857143,1.650,0.00071
70771428571,1.650,0.00059
70800000000,1.649,0.00046
70828571429,1.648,0.00033
70857142857,1.648,0.00015
70885714286,1.647,0.00003
70914285714,1.646,-0.00009
70942857143,1.646,-0.00021
70971428571,1.645,-0.00034
71000000000,1.645,-0.00046
71028571429,1.644,-0.00069
71057142857,1.644,-0.00082
71085714286,1.643,-0.00095
71114285714,1.643,-0.00094
71142857143,1.643,-0.00106
71171428571,1.642,-0.00118
71200000000,1.642,-0.00130
71228571429,1.641,-0.00141
71257142857,1.641,-0.00152
71285714286,1.641,-0.00192
71314285714,1.640,-0.00174
71342857143,1.640,-0.00185
71371428571,1.640,-0.00196
71400000000,1.640,-0.00206
71428571429,1.639,-0.00216
71457142857,1.639,-0.00226
71485714286,1.639,-0.00328
71514285714,1.639,-0.00244
71542857143,1.638,-0.00253
71571428571,1.638,-0.00262
71600000000,1.638,-0.00270
71628571429,1.638,-0.00278
71657142857,1.638,-0.00286
71685714286,1.638,-0.00293
71714285714,1.637,-0.00300
71742857143,1.637,-0.00307
71771428571,1.637,-0.00314
71800000000,1.637,-0.00320
71828571429,1.637,-0.00326
71857142857,1.637,-0.00331
71885714286,1.637,-0.00337
71914285714,1.637,-0.00342
71942857143,1.637,-0.00346
71971428571,1.637,-0.00351
72000000000,1.637,-0.00355
72028571429,1.637,-0.00359
72057142857,1.637,-0.00362
72085714286,1.637,-0.00365
72114285714,1.637,-0.00368
72142857143,1.637,-0.00371
72171428571,1.637,-0.00374
72200000000,1.637,-0.00376
72228571429,1.637,-0.00378
72257142857,1.637,-0.00379
72285714286,1.637,-0.00381
72314285714,1.637,-0.00382
72342857143,1.637,-0.00383
72371428571,1.637,-0.00384
72400000000,1.637,-0.00385
72428571429,1.637,-0.00385
72457142857,1.637,-0.00385
72485714286,1.637,-0.00448
72514285714,1.637,-0.00450
72542857143,1.637,-0.00385
72571428571,1.637,-0.00384
72600000000,1.638,-0.00384
72628571429,1.638,-0.00383
