freq,epsilon_r       ,epsilon_i       
70000000000,2.005,0.00214
70028571429,2.004,0.0021
70057142857,2.002,0.00205
70085714286,2.001,0.002
70114285714,1.999,0.00194
70142857143,1.998,0.00188
70171428571,1.996,0.00181
70200000000,1.995,0.00174
70228571429,1.994,0.00166
70257142857,1.992,0.00158
70285714286,1.991,0.0015
70314285714,1.99,0.0014
70342857143,1.988,0.00131
70371428571,1.987,0.0012
70400000000,1.986,0.0011
70428571429,1.985,0.00099
70457142857,1.984,0.00088
70485714286,1.982,0.00076
70514285714,1.981,0.00064
70542857143,1.98,0.00051
70571428571,1.979,0.00039
70600000000,1.978,0.00026
70628571429,1.977,0.00012
70657142857,1.976,-0.00001
70685714286,1.975,-0.00015
70714285714,1.975,-0.00029
70742857143,1.974,-0.00043
70771428571,1.973,-0.00057
70800000000,1.972,-0.00083
70828571429,1.971,-0.00086
70857142857,1.971,-0.001
70885714286,1.97,-0.00115
70914285714,1.969,-0.00129
70942857143,1.968,-0.00144
70971428571,1.968,-0.00158
71000000000,1.967,-0.00173
71028571429,1.967,-0.00187
71057142857,1.966,-0.00234
71085714286,1.965,-0.00215
71114285714,1.965,-0.00229
71142857143,1.964,-0.00243
71171428571,1.964,-0.00256
71200000000,1.963,-0.00269
71228571429,1.963,-0.00282
71257142857,1.962,-0.00345
71285714286,1.962,-0.00308
71314285714,1.962,-0.0032
71342857143,1.961,-0.00331
71371428571,1.961,-0.00343
71400000000,1.961,-0.00354
71428571429,1.96,-0.00365
71457142857,1.96,-0.00375
71485714286,1.96,-0.00385
71514285714,1.959,-0.00395
71542857143,1.959,-0.00404
71571428571,1.959,-0.00413
71600000000,1.959,-0.00421
71628571429,1.958,-0.00429
71657142857,1.958,-0.00437
71685714286,1.958,-0.00444
71714285714,1.958,-0.00451
71742857143,1.958,-0.00458
71771428571,1.957,-0.00464
71800000000,1.957,-0.00469
71828571429,1.957,-0.00475
71857142857,1.957,-0.0048
71885714286,1.957,-0.00484
71914285714,1.957,-0.00488
71942857143,1.957,-0.00492
71971428571,1.957,-0.00495
72000000000,1.957,-0.00499
72028571429,1.957,-0.00501
72057142857,1.957,-0.00504
72085714286,1.957,-0.00506
72114285714,1.957,-0.00508
72142857143,1.956,-0.00509
72171428571,1.956,-0.0051
72200000000,1.956,-0.00511
72228571429,1.956,-0.00512
72257142857,1.956,-0.00512
72285714286,1.957,-0.00513
72314285714,1.957,-0.00513
72342857143,1.957,-0.00597
72371428571,1.957,-0.00598
72400000000,1.957,-0.00596
72428571429,1.957,-0.00594
72457142857,1.957,-0.00509
72485714286,1.957,-0.00508
72514285714,1.957,-0.00506
72542857143,1.957,-0.00505
72571428571,1.957,-0.00503
72600000000,1.957,-0.00501
72628571429,1.957,-0.00499
72657142857,1.957,-0.00496
72685714286,1.957,-0.00494
72714285714,1.957,-0.00491
72742857143,1.958,-0.00489
72771428571,1.958,-0.00486
72800000000,1.958,-0.00483
72828571429,1.958,-0.0048
72857142857,1.958,-0.00477
72885714286,1.958,-0.00473
72914285714,1.958,-0.0047
72942857143,1.958,-0.00467
72971428571,1.959,-0.00463
73000000000,1.959,-0.00459
73028571429,1.959,-0.00455
73057142857,1.959,-0.00451
73085714286,1.959,-0.00447
73114285714,1.959,-0.00443
73142857143,1.959,-0.00439
73171428571,1.96,-0.00435
73200000000,1.96,-0.00431
73228571429,1.96,-0.00426
73257142857,1.96,-0.00421
73285714286,1.96,-0.00417
73314285714,1.961,-0.00412
73342857143,1.961,-0.00407
73371428571,1.961,-0.00402
73400000000,1.961,-0.00397
73428571429,1.961,-0.00392
73457142857,1.961,-0.00387
73485714286,1.962,-0.00381
73514285714,1.962,-0.00376
73542857143,1.962,-0.0037
73571428571,1.962,-0.00365
73600000000,1.962,-0.00359
73628571429,1.963,-0.00353
73657142857,1.963,-0.00347
73685714286,1.963,-0.00341
73714285714,1.963,-0.00335
73742857143,1.963,-0.00329
73771428571,1.964,-0.00322
73800000000,1.964,-0.00316
73828571429,1.964,-0.00309
73857142857,1.964,-0.00303
73885714286,1.964,-0.00296
73914285714,1.965,-0.00289
73942857143,1.965,-0.00282
73971428571,1.965,-0.00274
74000000000,1.965,-0.00267
74028571429,1.966,-0.0026
74057142857,1.966,-0.00252
74085714286,1.966,-0.00245
74114285714,1.966,-0.00237
74142857143,1.966,-0.00229
74171428571,1.967,-0.00221
74200000000,1.967,-0.00213
74228571429,1.967,-0.00205
74257142857,1.967,-0.00197
74285714286,1.967,-0.00188
74314285714,1.968,-0.0018
74342857143,1.968,-0.00171
74371428571,1.968,-0.0019
74400000000,1.968,-0.00154
74428571429,1.968,-0.00168
74457142857,1.969,-0.00159
74485714286,1.969,-0.0015
74514285714,1.969,-0.00118
74542857143,1.969,-0.00126
74571428571,1.969,-0.001
74600000000,1.969,-0.00091
74628571429,1.97,-0.00082
74657142857,1.97,-0.00102
74685714286,1.97,-0.00063
74714285714,1.97,-0.00054
74742857143,1.97,-0.00044
74771428571,1.97,-0.00035
74800000000,1.971,-0.00026
74828571429,1.971,-0.00016
74857142857,1.971,-0.00007
74885714286,1.971,0.00002
74914285714,1.971,0.00012
74942857143,1.971,0.00021
74971428571,1.971,0.0003
75000000000,1.972,0.00039
75028571429,1.972,0.00048
75057142857,1.972,0.00057
75085714286,1.972,0.00066
75114285714,1.972,0.00075
75142857143,1.972,0.00084
75171428571,1.972,0.00092
75200000000,1.972,0.00119
75228571429,1.972,0.00127
75257142857,1.973,0.00135
75285714286,1.973,0.00125
75314285714,1.973,0.00133
75342857143,1.973,0.00141
75371428571,1.973,0.00148
75400000000,1.973,0.00155
75428571429,1.973,0.00162
75457142857,1.973,0.00169
75485714286,1.973,0.00176
75514285714,1.973,0.00182
75542857143,1.973,0.00189
75571428571,1.973,0.00195
75600000000,1.973,0.002
75628571429,1.973,0.00206
75657142857,1.973,0.00211
75685714286,1.974,0.00216
75714285714,1.974,0.00221
75742857143,1.974,0.00225
75771428571,1.974,0.00229
75800000000,1.974,0.00233
75828571429,1.974,0.00237
75857142857,1.974,0.0024
75885714286,1.974,0.00243
75914285714,1.974,0.00246
75942857143,1.974,0.00248
75971428571,1.974,0.0025
76000000000,1.974,0.00252
76028571429,1.974,0.00254
76057142857,1.974,0.00255
76085714286,1.974,0.00256
76114285714,1.974,0.00256
76142857143,1.974,0.00256
76171428571,1.974,0.00256
76200000000,1.974,0.00256
76228571429,1.974,0.00255
76257142857,1.974,0.00254
76285714286,1.974,0.00253
76314285714,1.974,0.00251
76342857143,1.974,0.00249
