freq,ref_ind,epsilon_r,epsilon_i
50000000000.0,1.89,3.5721,0.053
60893854748.603355,1.89,3.5721,0.053
71787709497.2067,1.89,3.5721,0.053
82681564245.81006,1.89,3.5721,0.053
93575418994.4134,1.89,3.5721,0.053
104469273743.01675,1.89,3.5721,0.053
115363128491.6201,1.89,3.5721,0.053
126256983240.22343,1.89,3.5721,0.053
137150837988.82683,1.89,3.5721,0.053
148044692737.43015,1.89,3.5721,0.053
158938547486.03354,1.89,3.5721,0.053
169832402234.63687,1.89,3.5721,0.053
180726256983.24017,1.89,3.5721,0.053
191620111731.84357,1.89,3.5721,0.053
202513966480.4469,1.89,3.5721,0.053
213407821229.05026,1.89,3.5721,0.053
224301675977.6536,1.89,3.5721,0.053
235195530726.257,1.89,3.5721,0.053
246089385474.86032,1.89,3.5721,0.053
256983240223.46368,1.89,3.5721,0.053
267877094972.06702,1.89,3.5721,0.053
278770949720.67035,1.89,3.5721,0.053
289664804469.27374,1.89,3.5721,0.053
300558659217.8771,1.89,3.5721,0.053
311452513966.4804,1.89,3.5721,0.053
322346368715.08374,1.89,3.5721,0.053
333240223463.6871,1.89,3.5721,0.053
344134078212.29047,1.89,3.5721,0.053
355027932960.8938,1.89,3.5721,0.053
365921787709.4972,1.89,3.5721,0.053
376815642458.1005,1.89,3.5721,0.053
387709497206.7039,1.89,3.5721,0.053
398603351955.3072,1.89,3.5721,0.053
409497206703.9105,1.89,3.5721,0.053
420391061452.5139,1.89,3.5721,0.053
431284916201.11725,1.89,3.5721,0.053
442178770949.72064,1.89,3.5721,0.053
453072625698.324,1.89,3.5721,0.053
463966480446.92737,1.89,3.5721,0.053
474860335195.53064,1.89,3.5721,0.053
485754189944.13403,1.89,3.5721,0.053
496648044692.73737,1.89,3.5721,0.053
507541899441.34076,1.89,3.5721,0.053
518435754189.94415,1.89,3.5721,0.053
529329608938.5474,1.89,3.5721,0.053
540223463687.1508,1.89,3.5721,0.053
551117318435.7542,1.89,3.5721,0.053
562011173184.3575,1.89,3.5721,0.053
572905027932.9608,1.89,3.5721,0.053
583798882681.5642,1.89,3.5721,0.053
594692737430.1676,1.89,3.5721,0.053
605586592178.771,1.89,3.5721,0.053
616480446927.3743,1.89,3.5721,0.053
627374301675.9777,1.89,3.5721,0.053
638268156424.581,1.89,3.5721,0.053
649162011173.1844,1.89,3.5721,0.053
660055865921.7877,1.89,3.5721,0.053
670949720670.391,1.89,3.5721,0.053
681843575418.9944,1.89,3.5721,0.053
692737430167.5977,1.89,3.5721,0.053
703631284916.201,1.89,3.5721,0.053
714525139664.8044,1.89,3.5721,0.053
725418994413.4078,1.89,3.5721,0.053
736312849162.0111,1.89,3.5721,0.053
747206703910.6145,1.89,3.5721,0.053
758100558659.2179,1.89,3.5721,0.053
768994413407.8212,1.89,3.5721,0.053
779888268156.4246,1.89,3.5721,0.053
790782122905.028,1.89,3.5721,0.053
801675977653.6313,1.89,3.5721,0.053
812569832402.2346,1.89,3.5721,0.053
823463687150.838,1.89,3.5721,0.053
834357541899.4413,1.89,3.5721,0.053
845251396648.0446,1.89,3.5721,0.053
856145251396.648,1.89,3.5721,0.053
867039106145.2513,1.89,3.5721,0.053
877932960893.8547,1.89,3.5721,0.053
888826815642.458,1.89,3.5721,0.053
899720670391.0614,1.89,3.5721,0.053
910614525139.6648,1.89,3.5721,0.053
921508379888.2682,1.89,3.5721,0.053
932402234636.8715,1.89,3.5721,0.053
943296089385.4749,1.89,3.5721,0.053
954189944134.0782,1.89,3.5721,0.053
965083798882.6815,1.89,3.5721,0.053
975977653631.2849,1.89,3.5721,0.053
986871508379.8882,1.89,3.5721,0.053
997765363128.4916,1.89,3.5721,0.053
1008659217877.0947,1.89,3.5721,0.053
1019553072625.6982,1.89,3.5721,0.053
1030446927374.3015,1.89,3.5721,0.053
1041340782122.9048,1.89,3.5721,0.053
1052234636871.5083,1.89,3.5721,0.053
1063128491620.1116,1.89,3.5721,0.053
