n,x,y
0,1250.0000116747433,2.2737367544323206e-11
1,1250.049906192103,2.1827872842550278e-11
2,1250.0998007094627,2.1827872842550278e-11
3,1250.1496952268221,2.091837814077735e-11
4,1250.1995897441818,2.091837814077735e-11
5,1250.2494842615415,2.000888343900442e-11
6,1250.2993787789012,2.000888343900442e-11
7,1250.349273296261,2.000888343900442e-11
8,1250.3991678136206,1.9099388737231493e-11
9,1250.4490623309803,1.9099388737231493e-11
10,1250.49895684834,1.9099388737231493e-11
11,1250.5488513656996,1.9099388737231493e-11
12,1250.5987458830593,1.9099388737231493e-11
13,1250.648640400419,1.9099388737231493e-11
14,1250.6985349177785,1.9099388737231493e-11
15,1250.7484294351382,2.091837814077735e-11
16,1250.7983239524979,2.1827872842550278e-11
17,1250.8482184698576,2.1827872842550278e-11
18,1250.8981129872172,2.2737367544323206e-11
19,1250.948007504577,2.3646862246096134e-11
20,1250.9979020219366,2.4556356947869062e-11
21,1251.0477965392963,2.4556356947869062e-11
22,1251.097691056656,2.4556356947869062e-11
23,1251.1475855740157,2.3646862246096134e-11
24,1251.1974800913754,2.3646862246096134e-11
25,1251.2473746087348,2.2737367544323206e-11
26,1251.2972691260945,2.1827872842550278e-11
27,1251.3471636434542,2.1827872842550278e-11
28,1251.397058160814,2.091837814077735e-11
29,1251.4469526781736,1.9099388737231493e-11
30,1251.4968471955333,1.8189894035458565e-11
31,1251.546741712893,1.7280399333685637e-11
32,1251.5966362302527,1.546140993013978e-11
33,1251.6465307476124,1.3642420526593924e-11
34,1251.696425264972,1.1823431123048067e-11
35,1251.7463197823317,9.094947017729282e-12
36,1251.7962142996912,7.275957614183426e-12
37,1251.846108817051,5.4569682106375694e-12
38,1251.8960033344106,3.637978807091713e-12
39,1251.9458978517703,9.094947017729282e-13
40,1251.99579236913,-1.8189894035458565e-12
41,1252.0456868864896,-3.637978807091713e-12
42,1252.0955814038493,-6.366462912410498e-12
43,1252.145475921209,-8.185452315956354e-12
44,1252.1953704385687,-9.094947017729282e-12
45,1252.2452649559284,-1.0913936421275139e-11
46,1252.295159473288,-1.2732925824820995e-11
47,1252.3450539906476,-1.4551915228366852e-11
48,1252.3949485080072,-1.546140993013978e-11
49,1252.444843025367,-1.7280399333685637e-11
50,1252.4947375427266,-1.8189894035458565e-11
51,1252.5446320600863,-1.8189894035458565e-11
52,1252.594526577446,-1.9099388737231493e-11
53,1252.6444210948057,-2.000888343900442e-11
54,1252.6943156121654,-2.000888343900442e-11
55,1252.744210129525,-2.000888343900442e-11
56,1252.7941046468848,-2.091837814077735e-11
57,1252.8439991642445,-2.1827872842550278e-11
58,1252.893893681604,-2.091837814077735e-11
59,1252.9437881989636,-2.091837814077735e-11
60,1252.9936827163233,-2.1827872842550278e-11
61,1253.043577233683,-2.1827872842550278e-11
62,1253.0934717510427,-2.2737367544323206e-11
63,1253.1433662684024,-2.2737367544323206e-11
64,1253.193260785762,-2.2737367544323206e-11
65,1253.2431553031217,-2.2737367544323206e-11
66,1253.2930498204814,-2.1827872842550278e-11
67,1253.3429443378411,-2.1827872842550278e-11
68,1253.3928388552008,-2.2737367544323206e-11
69,1253.4427333725603,-2.2737367544323206e-11
70,1253.49262788992,-2.2737367544323206e-11
71,1253.5425224072796,-2.2737367544323206e-11
72,1253.5924169246393,-2.2737367544323206e-11
73,1253.642311441999,-2.2737367544323206e-11
74,1253.6922059593587,-2.2737367544323206e-11
75,1253.7421004767184,-2.2737367544323206e-11
76,1253.791994994078,-2.2737367544323206e-11
77,1253.8418895114378,-2.2737367544323206e-11
78,1253.8917840287975,-2.1827872842550278e-11
79,1253.941678546157,-2.091837814077735e-11
80,1253.9915730635166,-2.091837814077735e-11
81,1254.0414675808763,-2.000888343900442e-11
82,1254.091362098236,-2.000888343900442e-11
83,1254.1412566155957,-1.9099388737231493e-11
84,1254.1911511329554,-1.8189894035458565e-11
85,1254.241045650315,-1.7280399333685637e-11
86,1254.2909401676748,-1.546140993013978e-11
87,1254.3408346850345,-1.4551915228366852e-11
88,1254.3907292023941,-1.2732925824820995e-11
89,1254.4406237197538,-1.000444171950221e-11
90,1254.4905182371133,-8.185452315956354e-12
91,1254.540412754473,-5.4569682106375694e-12
92,1254.5903072718327,-2.7284841053187847e-12
93,1254.6402017891924,-1.8189894035458565e-12
94,1254.690096306552,0.0
95,1254.7399908239117,1.8189894035458565e-12
96,1254.7898853412714,3.637978807091713e-12
97,1254.8397798586311,5.4569682106375694e-12
98,1254.8896743759908,7.275957614183426e-12
99,1254.9395688933505,8.185452315956354e-12
100,1254.9894634107102,9.094947017729282e-12
101,1255.0393579280696,9.094947017729282e-12
102,1255.0892524454293,9.094947017729282e-12
103,1255.139146962789,1.000444171950221e-11
104,1255.1890414801487,1.0913936421275139e-11
105,1255.2389359975084,1.1823431123048067e-11
106,1255.288830514868,1.1823431123048067e-11
107,1255.3387250322278,1.1823431123048067e-11
108,1255.3886195495875,1.000444171950221e-11
109,1255.4385140669472,9.094947017729282e-12
110,1255.4884085843069,7.275957614183426e-12
111,1255.5383031016665,7.275957614183426e-12
112,1255.588197619026,4.547473508864641e-12
113,1255.6380921363857,3.637978807091713e-12
114,1255.6879866537454,2.7284841053187847e-12
115,1255.737881171105,1.8189894035458565e-12
116,1255.7877756884648,1.8189894035458565e-12
117,1255.8376702058245,0.0
118,1255.8875647231841,-9.094947017729282e-13
119,1255.9374592405438,-2.7284841053187847e-12
120,1255.9873537579035,-2.7284841053187847e-12
121,1256.0372482752632,-4.547473508864641e-12
122,1256.087142792623,-5.4569682106375694e-12
123,1256.1370373099824,-7.275957614183426e-12
124,1256.186931827342,-8.185452315956354e-12
125,1256.2368263447017,-8.185452315956354e-12
126,1256.2867208620614,-8.185452315956354e-12
127,1256.3366153794211,-9.094947017729282e-12
128,1256.3865098967808,-1.000444171950221e-11
129,1256.4364044141405,-1.000444171950221e-11
130,1256.4862989315002,-1.0913936421275139e-11
131,1256.5361934488599,-1.2732925824820995e-11
132,1256.5860879662196,-1.3642420526593924e-11
133,1256.6359824835793,-1.546140993013978e-11
134,1256.6858770009387,-1.546140993013978e-11
135,1256.7357715182984,-1.6370904631912708e-11
136,1256.785666035658,-1.8189894035458565e-11
137,1256.8355605530178,-1.9099388737231493e-11
