n,x,y
0,1250.0000116747433,1.8189894035458565e-12
1,1250.049906192103,1.8189894035458565e-12
2,1250.0998007094627,1.8189894035458565e-12
3,1250.1496952268221,1.8189894035458565e-12
4,1250.1995897441818,1.8189894035458565e-12
5,1250.2494842615415,1.8189894035458565e-12
6,1250.2993787789012,9.094947017729282e-13
7,1250.349273296261,0.0
8,1250.3991678136206,0.0
9,1250.4490623309803,0.0
10,1250.49895684834,-9.094947017729282e-13
11,1250.5488513656996,-9.094947017729282e-13
12,1250.5987458830593,-9.094947017729282e-13
13,1250.648640400419,0.0
14,1250.6985349177785,0.0
15,1250.7484294351382,9.094947017729282e-13
16,1250.7983239524979,1.8189894035458565e-12
17,1250.8482184698576,2.7284841053187847e-12
18,1250.8981129872172,4.547473508864641e-12
19,1250.948007504577,6.366462912410498e-12
20,1250.9979020219366,7.275957614183426e-12
21,1251.0477965392963,1.000444171950221e-11
22,1251.097691056656,1.2732925824820995e-11
23,1251.1475855740157,1.4551915228366852e-11
24,1251.1974800913754,1.7280399333685637e-11
25,1251.2473746087348,1.8189894035458565e-11
26,1251.2972691260945,2.000888343900442e-11
27,1251.3471636434542,2.1827872842550278e-11
28,1251.397058160814,2.3646862246096134e-11
29,1251.4469526781736,2.546585164964199e-11
30,1251.4968471955333,2.7284841053187847e-11
31,1251.546741712893,2.7284841053187847e-11
32,1251.5966362302527,2.8194335754960775e-11
33,1251.6465307476124,2.9103830456733704e-11
34,1251.696425264972,3.001332515850663e-11
35,1251.7463197823317,3.092281986027956e-11
36,1251.7962142996912,3.183231456205249e-11
37,1251.846108817051,3.183231456205249e-11
38,1251.8960033344106,3.001332515850663e-11
39,1251.9458978517703,3.001332515850663e-11
40,1251.99579236913,2.9103830456733704e-11
41,1252.0456868864896,2.9103830456733704e-11
42,1252.0955814038493,2.8194335754960775e-11
43,1252.145475921209,2.7284841053187847e-11
44,1252.1953704385687,2.637534635141492e-11
45,1252.2452649559284,2.4556356947869062e-11
46,1252.295159473288,2.4556356947869062e-11
47,1252.3450539906476,2.4556356947869062e-11
48,1252.3949485080072,2.4556356947869062e-11
49,1252.444843025367,2.3646862246096134e-11
50,1252.4947375427266,2.2737367544323206e-11
51,1252.5446320600863,2.2737367544323206e-11
52,1252.594526577446,2.2737367544323206e-11
53,1252.6444210948057,2.2737367544323206e-11
54,1252.6943156121654,2.1827872842550278e-11
55,1252.744210129525,2.1827872842550278e-11
56,1252.7941046468848,2.091837814077735e-11
57,1252.8439991642445,2.091837814077735e-11
58,1252.893893681604,2.1827872842550278e-11
59,1252.9437881989636,2.1827872842550278e-11
60,1252.9936827163233,2.1827872842550278e-11
61,1253.043577233683,2.2737367544323206e-11
62,1253.0934717510427,2.3646862246096134e-11
63,1253.1433662684024,2.3646862246096134e-11
64,1253.193260785762,2.2737367544323206e-11
65,1253.2431553031217,2.2737367544323206e-11
66,1253.2930498204814,2.1827872842550278e-11
67,1253.3429443378411,2.1827872842550278e-11
68,1253.3928388552008,2.000888343900442e-11
69,1253.4427333725603,1.9099388737231493e-11
70,1253.49262788992,1.8189894035458565e-11
71,1253.5425224072796,1.7280399333685637e-11
72,1253.5924169246393,1.546140993013978e-11
73,1253.642311441999,1.2732925824820995e-11
74,1253.6922059593587,1.000444171950221e-11
75,1253.7421004767184,7.275957614183426e-12
76,1253.791994994078,4.547473508864641e-12
77,1253.8418895114378,9.094947017729282e-13
78,1253.8917840287975,-9.094947017729282e-13
